ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
ཁ་བྲག་,ཁ་དབྲག་
ཁ་འཁྱེར་, ཁ་ཁྱེར་
ཁ་ཤྭ་,རི་དྭགས་ཁ་ཤ་
ཁ་སརྤ་ཎི་,ཁ་སརྤཱ་ཎི་
ཁ་སརྤ་ཎི་འཇིགས་པ་བརྒྱད་སྐྱོབ་,ཁ་སརྤཱ་ཎི་འཇིགས་པ་བརྒྱད་སྐྱོབ་
ཁ་སེང་,ཁ་སང་
ཁང་བྱིའུ་,ཁང་བྱེའུ་
ཁང་བྱེལ་,ཁང་བྱེའུ་
ཁམ་ཆུང་,བོན་ལུགས་འབུམ་སྡེ་བརྒྱད་ཀྱི་ནང་ཚན་འབྲིང་པོ་སྐོར་གཉིས་ཀྱི་ཡ་གྱལ་གཉའ་སྟོན་གྱིས་ཤེལ་བྲག་ནས་བཏོན་པའི་ཁམས་ཆུང་དུམ་པ་དྲུག་པ་
ཁམ་ཆེན་,བོན་ལུགས་འབུམ་སྡེ་བརྒྱད་ཀྱི་ནང་ཚན་རྒྱས་པ་སྐོར་གཉིས་ཀྱི་ཡ་གྱལ་གཤེན་ཆེན་ཀླུ་དགས་འབྲིག་མཚམས་མཐའ་དཀར་ནས་གཏེར་དྲངས་པའི་ཁམས་ཆེན་སྟོང་ཕྲག་བརྒྱ་པ་
ཁམས་སྟོད་རྒྱལ་མོའི་དངུལ་ཆུ་,འདི་
ཁར་བ་,འཁར་བ་
ཁར་རྗེ་,ཁ་རྗེ་
ཁར་རྩང་,དེ་རིང་གི་སྔ་ཉིན་ཏེ་ཁ་སང་
ཁས་ཆེ་,ཁས་འཆེ་བ་
ཁི་འུ་,ཁུ་རྩིད་ཡ་གྱལ་ཁུ་ལུ་
ཁིའུ་,ཁུ་རྩིད་གཉིས་ཀྱི་ཡ་གྱལ་ཁུ་ལུ་
ཁུ་འབངས་,ཁུ་འཕངས་
ཁུག་སྣ་,ཁུག་རྣ་
ཁུགས་པ་,ཁུག་པ་
ཁུང་པོ་,ཁུང་བུ་
ཁུན་,འཁུན་
ཁུམས་,འཁུམས་
ཁུར་ཚ་,ཁུར་ཙ་
ཁུར་ཚ་བ་,ཁུར་ཙ་བ་
ཁུར་ཚོས་,མཁུར་ཚོས་
ཁུལ་འཕྱིང་,ཁུལ་ཕྱིང་
ཁེ་རྐྱང་,ཁེར་རྐྱང་
ཁེ་སང་,ཁེ་བཟང་
ཁེར་རྒོད་,ཁེར་དགོད་
ཁོ་ར་ཁོར་ཟུག་,ཁོ་ར་ཁོར་ཡུག་
ཁོག་རྩེ་,ཀོག་ཙེ་
ཁོག་ལྡིར་,ཁོག་ལྟིར་
ཁོང་སེང་, ཁོང་གསེང་
ཁོན་,འཁོན་
ཁོན་པ་,འཁོན་པ་
ཁྱགས་,འཁྱགས་
ཁྱད་པར་ལ་ཀུན་བརྟགས་པའི་ཀུན་བརྟགས་,ཁྱད་པར་ལ་ཀུན་བཏགས་པའི་ཀུན་བཏགས་
ཁྱབ་བརྡལ་,ཁྱབ་གདལ་
ཁྱིད་,མཁྱིད་
ཁྱིམ་ཐབས་,ཁྱིམ་ཐབ་
ཁྱུག་པོ་,འཁྱོག་པོ་
ཁྱུད་ཁོར་,ཁྱུད་འཁོར་
ཁྲ་མེན་,ཕྲ་མེན་
ཁྲག་འཁྲུགས་,ཁྲག་འཁྲུག་
ཁྲང་,མཁྲང་
ཁྲི་གཉན་,ཁྲི་སྙན་
ཁྲི་གཉན་བཟུང་བཙན་,ཁྲི་གཉན་གཟུངས་བཙན་
ཁྲི་མོན་,ཁྲི་མུན་
ཁྲི་ཤིང་,འཁྲི་ཤིང་
ཁྲིལ་,འཁྲིལ་
ཁྲུ་སློག་པ་,ཕྲུ་སློག་པ་
ཁྲེལ་རྒོད་,ཁྲེལ་དགོད་
ཁྲོབས་,བྲོ་གར་རྩེས་པའི་དོན་གྱི་འཁྲབ་ཀྱི་སྐུལ་ཚིག་
ཁྲོམས་,འགྲེམ་གྱི་སྐུལ་ཚིག་
ཁྲོལ་ལོ་ལོ་,ཁྲོ་ལོ་ལོ་
ག་བུར་,ག་པར་
གཅལ་,བཅལ་
གཅིའུ་,གཅེའུ་
གཅུ་བོ་,གཅུ་པོ་
གཅུང་བོ་,གཅུང་པོ་
གཅེས་བསྡུས་,གཅེས་བཏུས་
གཉང་བ་,རྙང་བ་
གཉང་མ་,གཉང་བ་
གཉེན་ཀ་,གཉེན་ཁ་
གཉེལ་,མཉེལ་
གཏན་ཚིག་,གཏན་ཚིགས་
གཏར་ཀ་,གཏར་ཁ་
གཏར་ག་,གཏར་ཁ་
གཏི་ལུམ་,གཏུ་ལུམ་
གཏིང་དཔོག་,གཏིང་དཔག་
གཏུགས་བཤེར་,གཏུག་བཤེར་
གཏུམས་པ་,གཏུམ་གྱི་འདས་པའི་བྱ་མིང་
གད་ཀ་,གད་ཁ་
གད་བརྒྱངས་,གད་རྒྱངས་
གདང་,རྡང་
གདང་ཐག་,རྡང་ཐག་
གདང་ཕུར་,རྡང་ཕུར་
གདན་ལྕོག་,གདན་ཅོག་
གདུབ་སྐོར་,གདུབ་ཀོར་
གདོང་གྲོགས་,སྡོངས་གྲོགས་
གདོད་,ལུགས་སྲོལ་སོགས་གསར་དུ་ཕྱེ་བའི་གཏོད་ཀྱི་མ་འོངས་པ་
གདོམས་,འདེམ་གྱི་སྐུལ་ཚིག་
གན་,ཀན་
གན་ཀྱལ་,གན་རྐྱལ་
གན་གཡོག་,གཎ་གཡོག་
གནན་,གནོན་གྱི་མ་འོངས་པ་
གཙགས་བུ་,གཙག་བུ་
གཙང་དམེ་,གཙང་རྨེ་
གཙིར་, འཚིར་གྱི་མ་འོངས་པ་བཙིར་
གཙུབ་གཏན་,གཙུབ་སྟན་དང་གཙུབ་གདན་བཅས་
གཙུབ་གདན་,གཙུབ་སྟན་དང་གཙུབ་གཏན་བཅས་
གཙོག་,བཙོག་,རྡུང་རྡེག་བྱེད་པའི་དོན་གྱི་འཚོག་གི་མ་འོངས་པ་བཙོག་
གཙོད་,ཁ་གྱ་ཚོ་དྲུག་གི་ཡ་གྱལ་གཙོས་
གཞིབས་,འཇིབ་
གཞུམ་པ་,བཅུམ་པ་
གཞོར་,གཞར་གྱི་སྐུལ་ཚིག་
གཞོས་,འཇོ་ཡི་སྐུལ་ཚིག་
གཟག་,གཟགས་ཀྱི་མ་འོངས་པ་དང་ད་ལྟ་བ་
གཟབས་པ་,ནོར་འཁྲུལ་མི་འབྱུང་ཆེད་དོགས་ཟོན་བྱེད་པའི་དོན་གྱི་གཟབ་ཀྱི་འདས་པའི་བྱ་མིང་
གཟིང་,སྤུ་སོགས་གྱེན་དུ་ལང་བའི་དོན་གྱི་གཟེང་
གཟུགས་དང་བ་,གཟུགས་ཅན་དྭངས་པ་
གཟུམ་,འཚུམ་གྱི་མ་འོངས་པ་
གཟེམ་,འཛེམ་གྱི་མ་འོངས་པ་
གཟོབ་,གཟབ་
གཡམ་བཟང་བཀའ་བརྒྱུད་,གཡའ་བཟང་བཀའ་བརྒྱུད་
གཡུར་བ་,ཡུར་བ་
གཡེར་མོ་ཐང་,གཡར་མོ་ཐང་
གཡོ་,གཡོན་
གར་བོ་,གར་པོ་
གལ་ཏེ་,གལ་ཏ་
གཤམ་ཐབས་,ཤམ་ཐབས་
གཤལ་,བཤལ་
གཤུམ་,བཤུམ་
གཤེག་,གཤོག་
གཤེན་རབས་,གཤེན་རབ་
གཤོག་པ་,གཤེག་པ་
གཤོམས་པ་,གཤོམ་པ་
གསག་,གསོག་གི་མ་འོངས་པ་
གསགས་ཀ་,གསེག་ཀ་
གསབ་,གསོབ་
གསལ་ཡས་,གསའ་ཡས་
གསིགས་,གསིག་གི་སྐུལ་ཚིག་
གསུབ་,སུབ་ཀྱི་མ་འོངས་པ་
གསུབས་,སུབ་ཀྱི་འདས་པ་དང་སྐུལ་ཚིག་
གསུམ་ཁ་,གསུམ་ག་
གསུམ་རྩེན་,སུམ་རྩེན་
གསེག་ཁ་,གསེག་ཀ་
གསོན་པོ་,ཆུད་ཟོས་སུ་བཏང་བའི་དོན་གྱི་བྱ་ཚིག་འཛའ་ཡི་ད་ལྟ་བའི་བྱ་མིང་
གུ་ཤྲི་ཧན་,གུ་ཤྲཱི་ཧན་
གུག་གུ་,གི་གུ་
གུང་གསེང་,གུང་སེང་
གུང་བསང་,གུང་སེང་
གུང་མོ་,གོང་མོ་
གོད་ཁ་,གོད་ཀ་
གོས་འདང་,གོས་ལྡེང་
གྱ་ཙོམ་,གྱ་ཚོམ་
གྲུངས་,ཆུ་སོགས་དྭངས་པར་བྱེད་པའི་དོན་གྱི་བྱ་ཚིག་བགྲུང་གི་ད་ལྟ་བ་
གྲུས་མ་,གྲུས་མ་
གྲོ་ཁ་,བྲོ་ཁ་
གྲོ་ཞུན་,གྲོ་བཞིན་,གྲོ་བཞིན་
གྲོང་བའི་ཆོས་,གྲོང་པའི་ཆོས་
གླིང་གཞིའི་སྡེ་,གླེང་གཞིའི་སྡེ་
གླེ་བོ་,སྨྱུག་མ་དང་ལྕུག་མ་སོགས་ཀྱིས་བཟོས་པའི་སླེ་བོ་
གླེང་མོ་,གླེང་མོལ་
གློ་དཀར་,གློ་སྐར་
གྷི་ཝཾ་,གི་ཝང་
ངལ་བསོ་,ངལ་གསོ་
ངོ་བོ་ལ་ཀུན་བརྟགས་པའི་ཀུན་བརྟགས་,ངོ་བོ་ལ་ཀུན་བཏགས་པའི་ཀུན་བཏགས་
ཅ་འཕྱི་,ཅ་འབྱིད་
ཅག་ཀྲུམ་,ཆག་ཀྲུམ་
ཅན་ནེ་,ཅ་ནེ་
ཅིལ་,གཞོམ་པའི་དོན་འཇིལ་གྱི་སྐུལ་ཚིག་
ཅུང་,གཅུང་
ཅོ་ག་,ཅོ་ཀ་
ཅོ་ཅོ་,ཇོ་ཇོ་
ཅོ་ཐོ་,ཅོ་ཏོ་
ཅོང་ཞུ་,ཅོང་ཞི་
ཅོང་རོང་,གཡང་སའི་དོན་གྱི་གཅོང་རོང་
ཅོལ་ལེ་བ་,ཅོ་ལེ་བ་
ཆ་ག་བ་,ཆ་ག་པ་
ཆན་ལུང་,ཆཱན་ལུང་
ཆུ་འགོ་,ཆུ་མགོ་
ཆུམ་,ཆུམས་,ཆུམས་
ཆེད་དུ་བྱ་བ་,རྣམ་དབྱེ་བཞི་བ་དགོས་ཆེད་ཀྱི་མིང་
ཆེམས་ཆེམས་,ཆེམ་ཆེམ་
ཆོས་བཟང་ལྷའི་འདུན་ས་,ཆོས་བཟང་ལྷའི་མདུན་ས་
ཇ་སྦག་,ཇ་བག་
ཇོ་ཤག་རྣམ་གསུམ་,ཇོ་ཤཱཀ་རྣམ་གསུམ་
ཉགས་ཁྲི་བཟང་ཡང་སྟོན་,སྙགས་ཁྲི་བཟང་ཡང་སྟོན་
ཉང་ཁྲི་བཟང་ཡང་སྟོན་,སྙགས་ཁྲི་བཟང་ཡང་སྟོན་
ཉམས་ཉེས་,སྟོབས་ཤུགས་ཤོར་བའམ་ཕམ་ཉེས་བྱུང་བའི་དོན་གྱི་ཉམ་ཉེས་
ཉི་ཁྲི་,གྲངས་ཀ་ཁྲི་གཉིས་
ཉིང་ཁྲི་,ཉང་ཁྲི་
ཉིན་དགུང་,ཉིན་གུང་
ཉིན་སྲིབས་,ཉིན་སྲིབ་
ཉུངས་,ཉུངས་མ་སྟེ་ཉུང་མ་
ཉུངས་མ་,ཉུང་མ་
ཉེ་སྦས་,ཉེར་སྦས་
ཉེན་ཀ་,ཉེན་ཁ་
ཏང་ཀུ་,ཏང་ཀུན་
ཏཱ་,ཏཱ་ཡེ་
ཏཱ་ར་ན་ཐ་,ཏཱ་ར་ནཱ་ཐ་
ཏི་ཀ་,སྟི་ག་
ཏིཀྟཿ་,ཏིཀྟ་
ཏིག་ཚ་,ཏི་ཚ་
ཏིངས་,འདིང་གི་སྐུལ་ཚིག་ཐོང་
ཏུ་ཙ་,ཏི་ཙ་
ཏེ་བོར་,ཏེ་པོར་
ཏེའུ་ལོ་,རྟེའུ་ལོ་
ཏཻ་ལོ་པ་,ཏིལློ་པ་
ཏོག་རྩེ་,ཏོག་ཙེ་
ཏྲ་,སྤྲ་
ཐ་ཐོར་,ཐར་ཐོར་
ཐ་མལ་བ་,ཐ་མལ་པ་
ཐག་གུ་,ཐ་གུ་
ཐག་གྲུ་,ཐ་གྲུ་
ཐག་བསྲིང་བ་བཞི་,ཐག་བསྲིང་པ་བཞི་
ཐང་ཀ་,ཐང་ག་
ཐང་ཁྲོམ་,ཐང་ཕྲོམ་
ཐང་གཅིག་,ཐང་ཅིག་
ཐང་འགའ་,ཐེངས་འགའ་
ཐན་སྐོར་,ཐན་ཀོར་
ཐབ་ཁ་,ཐབ་ཀ་
ཐབ་ཅས་,ཐབ་ཆས་
ཐམ་ག་,ཐམ་ཀ་
ཐི་གུ་,ཐ་གུ་
ཐིག་,ཐིགས་
ཐིག་གུ་,ཐ་གུ་
ཐིང་,གདན་སོགས་ས་ལ་བཀྲམ་པའི་དོན་གྱི་འདིང་གི་སྐུལ་ཚིག་
ཐུ་རུ་,ཐོ་རུ་
ཐུངས་,འཐུང་གི་སྐུལ་ཚིག་འཐུངས་
ཐུན་བྲབ་,ཐུན་བྲབས་
ཐུའུ་ཀྭན་,ཐུའུ་བཀྭན་
ཐུར་བུ་,ཐོ་རུ་
ཐེང་བོ་,རྐང་པ་གྱོལ་བའི་དོན་གྱི་འཐེང་པོ་
ཐེབས་ཆག་,ཐབས་ཆག་
ཐེམ་,ཐོབ་པའི་དོན་དུ་གོ་བའི་ཐེམས་
ཐེལ་ཚེ་,ཐེལ་ཙེ་
ཐེལ་རྩེ་,ཐེལ་ཙེ་
ཐེས་,ཐེ་
ཐོ་འཚམས་པ་,ཐོ་འཚམ་པ་
ཐོ་རེངས་,ཐོ་རངས་
ཐོ་སྐོར་,ཐོ་ཀོར་
ཐོང་ཀ་,ཐོང་ག་
ཐོང་བཤོལ་,ཐོང་གཤོལ་
ཐོད་ལེ་ཀོར་,ཐོ་ལེ་ཀོར་
ཐོན་ཐི་,ཐུན་ཐི་
ད་ར་,དར་བ་
དཀན་,རྐན་
དཀའ་བཟློག་བླ་མ་,བཀའ་ཟློག་བླ་མ་ཞེས་པ་
དཀར་ཁྲ་མེན་,དཀར་ཁྲ་མན་
དཀྱིལ་དཀྲུང་,སྐྱིལ་ཀྲུང་
དགུར་བ་,སྒུར་བ་
དགུར་མོ་,སྒུར་པོ་
དགེས་པ་རྡོ་རྗེ་,དགྱེས་པ་རྡོ་རྗེ་
དགོལ་,ལས་ཀ་བྱེད་དུ་འཇུག་པའི་དོན་གྱི་འཁོལ་གྱི་མ་འོངས་པ་བཀོལ་
དགྱེ་བོ་,དགྱེ་པོ་
དང་ཁ་,དང་ག་
དང་རུ་,དང་རུས་
དངུད་མོ་,ངུད་མོ་
དངོམ་,རྔམ་
དན་ཏ་,དན་ད་ཞེས་པ་
དཔའ་བ་བརྟན་པ་,དཔའ་བོ་བརྟན་པ་
དཔའ་བརྟུལ་,དཔའ་རྟུལ་
དཔུང་བ་,དཔུང་པ་
དཔེའི་རྒྱན་,དཔེ་རྒྱན་
དཔྲི་,སྤྲི་
དབའ་,ཆུའི་རྦ་རླབས་ཀྱི་རྦ་
དབའ་སྒལ་,དབའ་རྒལ་
དབུ་,དབུས་
དབྱར་ཀ་,དབྱར་ཁ་
དབྱལ་མོ་,
དམ་ག་,དམ་ཁ་
དམར་ཧྲང་,དམར་ཧྲེང་
དམུ་,རྨུ་ཞེས་པ་
དམོད་པ་,སྨོད་པ་
དམོན་,རྨོ་ཡི་ད་ལྟ་བ་
དར་གུད་,དར་རྒུད་
དར་བབས་,དར་བབ་
དིང་,དེང་
དིང་སང་,དེང་སང་
དུང་འཕྱུར་,དུང་ཕྱུར་
དེ་ཀ་,དེ་ག་
དེ་ཁ་,དེ་ག་
དོང་ཀ་,དོང་ག་
དོངས་,འདོང་བའི་སྐུལ་ཚིག་
དྲ་ཕྱེད་,དྲྭ་ཕྱེད་
དྲ་བ་,མཐུད་འབྲེལ་གྱི་དོན་གྱི་དྲྭ་བ་
དྲན་པ་ཉེར་བཞག་བཞི་,དྲན་པ་ཉེར་གཞག་བཞི་
དྲལ་མ་,གྲལ་མ་
དྲུམས་,གྲུམས་
ན་རོ་,ན་རུ་
ན་རོ་ཆོས་དྲུག་,ནཱ་རོ་ཆོས་དྲུག་
ནང་གི་གཟུགས་ཅན་དང་བ་,ནང་གི་གཟུགས་ཅན་དྭངས་པ་
ནང་མ་སྒང་,ནང་མ་ཁང་
ནམ་མཁའ་མཐའ་ཡས་སྐྱེད་མཆེད་,ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་
ནམ་རྨས་,ནམ་དམུས་
ནལ་མ་,རྩྭ་སྨན་ནད་མ་
ནེ་གྲོ་ཏ་,ནྱ་གྲོ་དྷ་
ནེ་ལེ་,ནེའུ་ལེ་
ནེ་ལེ་ཐོད་ཁྲག་,ནཱི་ལ་ཐོ་ཋ་
ནེའུ་སིང་,ནེའུ་གསིང་
ནོལ་,མནོལ་
པ་ཆར་,པ་ཅར་
པ་ཝ་སངས་,གཟའ་བདུན་གྱི་ཡ་གྱལ་པ་སངས་
པ་རི་པུ་རུ་,པ་རི་པི་རི་
པང་སྟེང་,གྲངས་གནས་ཉེར་བཞི་པ་སྤང་རྟེན་
པད་མ་ཅན་,པདྨ་ཅན་
པད་མ་རཱ་ག་,པདྨ་རཱ་ག་
པདྨ་,པད་མ་
པུ་ཏི་,པོ་ཏི་
པེ་ཅིན་,པེ་ཅིང་
པོ་པོ་,སྤོ་སྤོ་
པོ་སོན་འཆའ་,པོ་སོ་ཆ་
པྲེང་ངེ་,བྲང་ངེ་
ཕ་ག་,ཕ་གི་
ཕ་གཡར་,ཕ་ཡར་
ཕ་ཕྱོགས་,ཕར་ཕྱོགས་
ཕ་ཝོང་,ཕ་བོང་
ཕང་,འཕང་
ཕང་ཁེབས་,པང་ཁེབས་དང་པང་གདན་
ཕང་ཤིང་,འཕང་ཤིང་
ཕན་ཆོད་,ཕན་ཆད་
ཕན་ཐོགས་པོ་,ཕན་ཐོགས་པ་
ཕམ་འབབས་,ཕམ་ཕབ་
ཕིགས་,ཕུག་
ཕུ་མདོ་བར་གསུམ་,ཕུ་མདའ་བར་གསུམ་
ཕུང་སུམ་པ་,ཕུང་གསུམ་པ་
ཕུར་གདང་,ཕུར་རྡང་
ཕོ་བ་རིལ་,ཕོ་བ་རི་ལུ་
ཕོ་བ་རིལ་བུ་,ཕོ་བ་རི་ལུ་
ཕོག་གུ་,ཕོ་གུ་
ཕོག་དུག་,ཕོག་ཐུག་
ཕོད་ཆུངས་སེ་བ་,ཕོད་ཆུང་ངེ་བ་
ཕྱག་ཕེབས་,ཕྱགས་ཕེབས་
ཕྱང་འཕྲུལ་,ཕྱང་ཕྲུལ་
ཕྱམ་ཆད་,ཕྱམ་ཕྱད་
ཕྱཱ་པ་ཆོས་ཀྱི་སེང་གེ་,ཆ་པ་ཆོས་ཀྱི་སེང་གེ་
ཕྱི་ནུར་,ཕྱི་ནུད་
ཕྱི་པ་,འཕྱི་བའི་མིང་
ཕྱི་བ་,འཕྱི་བ་
ཕྱི་མ་འཕྲེད་,ཕྱི་མ་བྲེད་
ཕྱིན་ག་ལོག་,ཕྱིན་ཀ་ལོག་
ཕྱུགས་ཕྱུང་,ཕྱུགས་ཆུང་
ཕྱུར་ཁུ་,2.ཆུར་ཁུ་
ཕྱུར་བ་,ཆུར་བ་
ཕྲིན་ཡིག་,འཕྲིན་ཡིག་
ཕྲིས་,ཁ་འབྲིད་པའི་སྐུལ་ཚིག་བྲིད་
ཕྲུགས་,འཕྲུག་གི་སྐུལ་ཚིག་
ཕྲེད་,འཕྲེད་
ཕྲོབས་,ཕྲོབ་
བཀྲབས་པ་,བཀྲབ་པ་
བཀྲུམས་,དཀྲུམ་གྱི་འདས་པ་དང་སྐུལ་ཚིག་
བཀྲོབས་,དབྱེ་བསལ་བྱས་པའི་དོན་གྱི་འཁྲབ་ཀྱི་སྐུལ་ཚིག་
བགག་,བསྒག་
བགགས་,བསྒགས་,འགེགས་ཀྱི་འདས་པ་
བགོགས་,བསྒགས་ཀྱི་སྐུལ་ཚིག་
བགྱེད་,བར་ཐག་ཕྱེས་པའི་དོན་གྱི་འགྱེད་ཀྱི་མ་འོངས་པ་
བགྲང་འཕྲེང་,བགྲང་ཕྲེང་
བཅའ་ལག་,ཅ་ལག་
བཅོ་,ནོར་འཁྲུལ་ཡོ་བསྲང་བྱས་པའམ་འགྱུར་བ་བཏང་བའི་དོན་འཆོས་ཀྱི་མ་འོངས་པ་
བཅོལ་བཏམས་,བཅོལ་གདམས་
བཏེགས་,འདེགས་ཀྱི་འདས་པ་
བད་ཁ་,བད་ཀ་
བདོད་,བཏོད་ཀྱི་མ་འོངས་པ་
བན་དེ་,བནྡེ་
བབ་,བབས་
བབ་ཆོལ་,བབ་ཅོལ་
བབ་བླ་,བ་བླ་
བཙབ་,གཙབ་
བཙབས་,གཙབས་
བཙེས་,གཙེ་ཡི་འདས་པ་
བཞུས་,གཞུ་ཡི་འདས་པ་
བཟར་,གཟར་གྱི་མ་འོངས་པ་དང་འདས་པ་
བཟེག་,འཛེག་གི་མ་འོངས་པ་
བཟོ་ཏ་,བཟོ་ལྟ་
བརྒད་,བགད་
བརྙས་ཆོས་,བརྙས་བཅོས་
བརྙིད་,རྙིད་ཀྱི་མ་འོངས་པ་
བརྙིས་,རྙིད་ཀྱི་འདས་པ་
བརྟུལ་ཕོད་,རྟུལ་ཕོད་
བརྡུགས་,རྡུགས་
བརྡོས་,གདོས་
བརྩིངས་,དངོས་པོ་ནར་མོའི་རིགས་ཀྱི་རྩེ་མོ་གྱེན་དུ་སློང་བའི་དོན་གྱི་རྩེང་གི་འདས་པ་
བརྫུན་,རྫུན་
བརྫུན་པ་,རྫུན་པ་
བརླངས་,གཤིས་སྤྱོད་རྩུབ་པའི་དོན་གྱི་བརླང་
བལ་པ་ཛ་,བལ་བ་ཛ་
བཤད་ཡམ་,བཤད་ཡམས་
བཤན་པ་,ཤན་པ་
བཤའ་ཚེ་,གཤའ་ཚེ་
བཤིབ་,གཤིབ་ཀྱི་མ་འོངས་པ་
བཤིབས་,གཤིབ་ཀྱི་འདས་པ་
བཤུར་མ་,ཤུར་མ་
བཤུལ་ཀ་,བཤུལ་ཁ་
བཤོགས་,ཤོགས་
བསིལ་འགུགས་,བསིལ་འགུག་
བསུན་པོ་,སུན་པོ་
བསེ་,བོད་ཀྱི་རྩ་བའི་རུས་རྒྱུད་བཞིའི་ནང་གི་སེ་
བསེ་ཐེབ་,བསེ་ཐེབས་
བསེ་བ་,སེ་བ་
བསྐོ་གཞག་,བསྐོ་བཞག་
བསྐོབ་,སྐོབས་
བསྐོལ་འདན་,བསྐོལ་ལྡན་
བསྒོང་,བསྒང་
བསྒྲད་,བགྲད་
བསྙོལ་,སྙལ་གྱི་འདས་པ་
བསྟན་ཆོས་,བསྟན་བཅོས་
བསྟན་མ་,བརྟན་མ་
བསྟོང་,བསྟང་
བསྟོངས་,བསྟངས་
བསྡོས་,གདོས་
བསླ་,སླེ་ཡི་མ་འོངས་པ་
བསླས་,སླེ་ཡི་འདས་པ་
བསླེབ་,སླེབ་ཀྱི་མ་འོངས་པ་
བསླེབས་,སླེབས་
བུངས་,བོངས་
བུབ་ཀ་,བུབ་ཁ་
བེ་ཆོན་,བེ་ཅོན་
བེ་སྣབས་,བེལ་སྣབས་
བེམ་ཏོལ་,བེལ་རྡོལ་
བོ་དེ་ཙེ་,འབོ་དེ་ཙི་ཞེས་པ་
བོང་,བོངས་
བྱ་གཟུངས་མོ་,བྱ་གཟུགས་མོ་
བྱ་བརྙངས་,བྱ་རྨྱང་
བྱ་མ་བྱེའུ་,བྱ་མ་བྱི་
བྱད་ཁ་,བྱད་ཀ་
བྱི་ཏང་ག་,བྱི་ཏང་ཀ་
བྱི་ཕོ་,བྱི་པོ་
བྱིད་,ཕྱིས་ཀྱི་མ་འོངས་པ་
བྱིའུ་,བྱེའུ་
བྱིའུ་མགོ་,1.བྱེའུ་མགོ་
བྱེ་མ་ཉུ་གུ་,བྱེ་མ་མྱུ་གུ་
བྱེའུ་མགོ་,ཅེས་དང་
བྱེའུ་ལ་ཕུག་,2.བྱིའུ་ལ་ཕུག་
བྲའོ་,འབྲུ་རིགས་བྲ་བོ་
བླ་དྭགས་,ལ་དྭགས་
བླ་འཆོལ་,བླ་ཅོལ་
བླུག་སྣོད་,ལུགས་སྣོད་
བློ་བུར་,གློ་བུར་
བློ་རིག་,བློ་རིགས་
བློག་,བླག་
མ་གཡར་,མ་ཡར་
མ་བྱན་,མ་ཆེན་
མཁར་སིལ་,འཁར་གསིལ་
མཁུ་,འཁུ་
མཁུན་,འཁུན་
མཁོན་,འཁོན་
མགྲོན་བུ་,འགྲོན་བུ་
མཆིག་གུ་,མཆི་གུ་
མཆུ་ཐོ་,མཆུ་ཏོ་
མཆེར་པ་,མཚེར་བ་
མཆོག་མ་,མཚོག་མ་
མཆོགས་མ་,མཚོག་མ་
མཇོར་,འཇོར་
མཉེ་ཤིང་,ཉེ་ཤིང་
